seed,ablation,h_rate,final_energy,mean_energy,max_energy,total_regret,oscillation_count,oscillation_index,c2_rejections,c2_rejection_rate,drift_detections,mean_detection_delay,mean_recovery_energy,lr_base
6,C2+C3,0.3,11.098754622655427,11.040272622386826,54.70985590147839,6601.697298014532,47,0.07833333333333334,484,0.8066666666666666,0,50.0,8.519005041435499,0.5
7,C2+C3,0.3,9.435040231771431,9.44015339941658,36.52050459700217,5643.148647392051,43,0.07166666666666667,482,0.8033333333333333,0,50.0,8.570559907118835,0.5
8,C2+C3,0.3,7.184297531890966,10.17041769041411,46.68225387572119,6087.008343371873,48,0.08,495,0.825,0,50.0,8.746177690305847,0.5
9,C2+C3,0.3,23.692869259841903,9.364331907473536,38.23122288746181,5616.695083477341,55,0.09166666666666666,471,0.785,0,50.0,5.961885847991375,0.5
10,C2+C3,0.3,27.14076933913473,10.657124461833678,30.10913183220996,6411.818960979197,42,0.07,491,0.8183333333333334,0,50.0,8.77387399710785,0.5
11,C2+C3,0.3,15.312415424276058,14.33346854987561,67.69003123233045,8582.855475449769,51,0.085,484,0.8066666666666666,0,50.0,23.054511064523183,0.5
12,C2+C3,0.3,11.554682375338006,10.091378595612854,54.82739935574286,6038.183129999175,47,0.07833333333333334,487,0.8116666666666666,0,50.0,9.626309538954985,0.5
13,C2+C3,0.3,11.684898150309708,11.862786726962218,65.38225458176049,7098.246593409581,50,0.08333333333333333,472,0.7866666666666666,0,50.0,5.430962702361964,0.5
14,C2+C3,0.3,11.023334526757653,9.163694926741067,37.55657067603756,5487.07652380642,47,0.07833333333333334,490,0.8166666666666667,0,50.0,4.327693601716589,0.5
15,C2+C3,0.3,12.319784578632733,13.616881114299453,56.210953789584664,8142.6464806151225,53,0.08833333333333333,479,0.7983333333333333,0,50.0,21.11912617200954,0.5
16,C2+C3,0.3,2.5004488861562093,11.630940236480754,44.5153596432684,7029.583593911417,44,0.07333333333333333,490,0.8166666666666667,0,50.0,10.3649180146015,0.5
17,C2+C3,0.3,16.378925468418345,12.282168244321431,50.85808477719701,7369.756974586481,52,0.08666666666666667,469,0.7816666666666666,0,50.0,7.278885836327791,0.5
18,C2+C3,0.3,22.507460446881566,12.922211922641235,79.00809690873598,7753.761741477507,49,0.08166666666666667,463,0.7716666666666666,0,50.0,10.007877545318639,0.5
19,C2+C3,0.3,17.363896017222796,12.893667342981018,64.83527504244505,7737.938607181565,47,0.07833333333333334,456,0.76,0,50.0,9.470379255686192,0.5
0,full,0.3,3.4047159726922334,12.580183241333376,47.088955137314784,7544.189408418992,54,0.09,470,0.7833333333333333,28,38.0,18.69379460007678,0.5
1,full,0.3,9.435607857485111,12.021004993224361,48.77167684647939,7218.581697553732,42,0.07,490,0.8166666666666667,48,50.0,8.945931179172266,0.5
2,full,0.3,3.067090925263904,11.895947678154304,85.0138706544529,7139.6041093635695,58,0.09666666666666666,434,0.7233333333333334,41,39.0,5.435654264130658,0.5
3,full,0.3,4.852224891160957,10.711883546836514,78.10760816998358,6437.481162590989,53,0.08833333333333333,470,0.7833333333333333,23,50.0,9.906987403746308,0.5
4,full,0.3,11.539607188126531,10.928517856186925,98.61049691596753,6542.581967802966,49,0.08166666666666667,456,0.76,21,50.0,10.211040465670184,0.5
5,full,0.3,12.857191508923968,10.590545844188133,40.03764814008627,6320.109829202765,55,0.09166666666666666,474,0.79,18,50.0,6.878391035172157,0.5
6,full,0.3,11.098747438526495,10.929469272711382,54.70985590147839,6535.215288209264,47,0.07833333333333334,484,0.8066666666666666,45,50.0,8.519178109399705,0.5
7,full,0.3,9.43496865637032,9.784854327835303,39.81672023521695,5849.9692044432795,43,0.07166666666666667,483,0.805,40,28.0,9.356020485368647,0.5
8,full,0.3,7.184504639543719,10.500422042996128,46.74068611390185,6285.010954921089,44,0.07333333333333333,495,0.825,45,48.5,8.807792853919292,0.5
9,full,0.3,23.692869259841903,9.364331907473536,38.23122288746181,5616.695083477341,55,0.09166666666666666,471,0.785,10,50.0,5.961885847991375,0.5
10,full,0.3,27.14076933913473,10.657124461833678,30.10913183220996,6411.818960979197,42,0.07,491,0.8183333333333334,26,25.0,8.77387399710785,0.5
11,full,0.3,18.828055033985923,14.387904678291632,65.30431759119962,8615.517152499364,43,0.07166666666666667,481,0.8016666666666666,52,31.5,20.70351590932431,0.5
12,full,0.3,11.554682375338006,10.091378595612854,54.82739935574286,6038.183129999175,47,0.07833333333333334,487,0.8116666666666666,57,47.5,9.626309538954985,0.5
13,full,0.3,11.684896502020898,11.890365832649952,64.31592675898627,7114.7940568222075,50,0.08333333333333333,472,0.7866666666666666,33,41.5,5.427250185938883,0.5
14,full,0.3,11.01847226537294,9.339443152959404,37.55657067603756,5592.525459537424,43,0.07166666666666667,489,0.815,79,34.5,4.691206105873986,0.5
15,full,0.3,12.31928081299524,14.300861340147367,56.210953789584664,8553.03461612388,51,0.085,480,0.8,76,28.0,22.523530116986514,0.5
16,full,0.3,2.5004468316171526,11.452586779212748,44.5153596432684,6922.571519550606,46,0.07666666666666666,489,0.815,51,50.0,10.570961552231292,0.5
17,full,0.3,16.378925468418345,12.282168244321431,50.85808477719701,7369.756974586481,52,0.08666666666666667,469,0.7816666666666666,35,44.5,7.278885836327791,0.5
18,full,0.3,22.507460446881566,12.922211922641235,79.00809690873598,7753.761741477507,49,0.08166666666666667,463,0.7716666666666666,58,29.5,10.007877545318639,0.5
19,full,0.3,17.363896017222796,12.893667342981018,64.83527504244505,7737.938607181565,47,0.07833333333333334,456,0.76,36,50.0,9.470379255686192,0.5
0,none,0.5,1.3514304480942485,45.26563697032879,402.3410548437998,27180.547517240768,206,0.3433333333333333,0,0.0,0,50.0,2.3072023373437522,0.5
1,none,0.5,48.36156237662003,39.62312859074756,297.53027979985325,23740.378512686497,213,0.355,0,0.0,0,50.0,15.154444029285989,0.5
2,none,0.5,234.61859380781834,55.45148613825365,595.229500827468,33251.79539114561,207,0.345,0,0.0,0,50.0,74.40360997618113,0.5
3,none,0.5,11.53349225311502,47.08366272411561,273.3542358119596,28220.013134138004,241,0.40166666666666667,0,0.0,0,50.0,2.762503353492158,0.5
4,none,0.5,3.6477144134640915,37.35067596953015,490.2820320993051,22389.421149543825,212,0.35333333333333333,0,0.0,0,50.0,46.90166513681419,0.5
