noise,controller,seed,deadlock_steps,deadlock_rate,nonzero_frac,convergence,final_V,V_0
Student-t(1.5),C3_EMA,35,34,0.034,0.966,1,7.3492345216492385,10.348680640327226
Student-t(1.5),C3_EMA,36,47,0.047,0.953,0,56.51280512408501,1.0816746899012317
Student-t(1.5),C3_EMA,37,2,0.002,0.998,0,9.8894290378583,1.771126779051709
Student-t(1.5),C3_EMA,38,32,0.032,0.968,1,0.8078834799508385,3.6983679167416255
Student-t(1.5),C3_EMA,39,1,0.001,0.999,0,6.765506376232821,3.7556067896505936
Student-t(1.5),C3_raw,0,4,0.004,0.996,1,0.7590391132589399,5.12543708315857
Student-t(1.5),C3_raw,1,5,0.005,0.995,1,2.2394069741277973,7.993633240608052
Student-t(1.5),C3_raw,2,46,0.046,0.954,1,0.8658808481472114,3.90747908108797
Student-t(1.5),C3_raw,3,1,0.001,0.999,1,0.44381118395779795,1.889131240140495
Student-t(1.5),C3_raw,4,2,0.002,0.998,1,1.9469433461291445,6.77871908310555
Student-t(1.5),C3_raw,5,5,0.005,0.995,1,2.6957787615870576,9.471948142495746
Student-t(1.5),C3_raw,6,6,0.006,0.994,1,0.7279685022795309,2.348613732858571
Student-t(1.5),C3_raw,7,2,0.002,0.998,1,0.7340211475051754,12.677813559485507
Student-t(1.5),C3_raw,8,4,0.004,0.996,0,5.551209704603031,4.769904526626482
Student-t(1.5),C3_raw,9,3,0.003,0.997,1,0.34776240771918693,0.9120217960891291
Student-t(1.5),C3_raw,10,4,0.004,0.996,1,1.4002820308586579,1.6274820010549707
Student-t(1.5),C3_raw,11,1,0.001,0.999,1,0.36356586065095,3.0302010359974783
Student-t(1.5),C3_raw,12,5,0.005,0.995,1,0.8311084488599296,5.118430130099776
Student-t(1.5),C3_raw,13,9,0.009,0.991,1,4.050877417702485,16.64914553021906
Student-t(1.5),C3_raw,14,2,0.002,0.998,1,0.46418138463548664,11.541140603520772
Student-t(1.5),C3_raw,15,0,0.0,1.0,1,1.9252703916329017,2.633048744210851
Student-t(1.5),C3_raw,16,2,0.002,0.998,1,1.3835068151906091,6.09737111310263
Student-t(1.5),C3_raw,17,3,0.003,0.997,1,1.599159066727574,10.21950140445296
Student-t(1.5),C3_raw,18,4,0.004,0.996,1,0.925845301542682,3.8445500817104956
Student-t(1.5),C3_raw,19,2,0.002,0.998,1,2.1162602819101854,17.13392148178508
Student-t(1.5),C3_raw,20,7,0.007,0.993,1,0.9987484820672634,3.264257910132376
Student-t(1.5),C3_raw,21,2,0.002,0.998,1,3.9652498383753887,10.37074707241759
Student-t(1.5),C3_raw,22,1,0.001,0.999,1,1.7914637327305498,3.2964181158509245
Student-t(1.5),C3_raw,23,1,0.001,0.999,1,0.3929150612001474,5.189261803133375
Student-t(1.5),C3_raw,24,5,0.005,0.995,1,0.7151270111351794,2.3618821517982242
Student-t(1.5),C3_raw,25,3,0.003,0.997,0,1.2307066151297963,1.0861154507435486
Student-t(1.5),C3_raw,26,2,0.002,0.998,1,5.152888196516182,6.762660932756832
Student-t(1.5),C3_raw,27,1,0.001,0.999,1,3.2314937263920402,11.398898586162703
Student-t(1.5),C3_raw,28,4,0.004,0.996,1,1.960764934967004,4.7624286096558155
Student-t(1.5),C3_raw,29,3,0.003,0.997,0,5.225379688200259,4.625863101582398
Student-t(1.5),C3_raw,30,1,0.001,0.999,0,12.306272297360279,4.890706780642039
Student-t(1.5),C3_raw,31,6,0.006,0.994,1,0.5299911052605834,4.522054016581875
Student-t(1.5),C3_raw,32,4,0.004,0.996,1,1.3668860640073592,4.257091149243498
Student-t(1.5),C3_raw,33,2,0.002,0.998,1,2.504443288987113,4.968086381863673
Student-t(1.5),C3_raw,34,6,0.006,0.994,1,0.5511131804092193,8.376287005180995
Student-t(1.5),C3_raw,35,2,0.002,0.998,1,0.8683080269602805,10.348680640327226
Student-t(1.5),C3_raw,36,7,0.007,0.993,0,1.569760630519331,1.0816746899012317
Student-t(1.5),C3_raw,37,1,0.001,0.999,0,2.7671292343244396,1.771126779051709
Student-t(1.5),C3_raw,38,4,0.004,0.996,1,3.49752526005456,3.6983679167416255
Student-t(1.5),C3_raw,39,3,0.003,0.997,1,0.635457010688055,3.7556067896505936
