refuter,ate_orig,ate_refuted,delta_ratio,passed,seed,scenario,type,tau_true,gamma,is_fragile
placebo_treatment,1.2217586068330828,-0.24250241593256192,0.1984863577602713,1,62,64,reliable_strong,1.0,0.0,0
data_subset,1.2217586068330828,1.1618994825601592,0.07274310923448085,1,62,64,reliable_strong,1.0,0.0,0
random_common_cause,0.015491097432384332,0.01518081370974983,0.0200298089911855,1,62,65,fragile_mild,0.0,0.3,1
placebo_treatment,0.015491097432384332,-0.9431900599391729,60.88594200998455,0,62,65,fragile_mild,0.0,0.3,1
data_subset,0.015491097432384332,0.12055156412964534,3.4660534125231433,0,62,65,fragile_mild,0.0,0.3,1
random_common_cause,-0.5957237220363258,-0.9699704708724989,0.6282220012271936,0,62,66,fragile_mild,0.0,0.3,1
placebo_treatment,-0.5957237220363258,0.057276627204790265,0.09614629246088285,1,62,66,fragile_mild,0.0,0.3,1
data_subset,-0.5957237220363258,-0.6736722115896234,0.38833332021979483,1,62,66,fragile_mild,0.0,0.3,1
random_common_cause,1.1785695870100277,1.1788102026908762,0.00020415907851395842,1,62,67,reliable_strong,1.0,0.0,0
placebo_treatment,1.1785695870100277,0.07310597355085148,0.062029407814873025,1,62,67,reliable_strong,1.0,0.0,0
data_subset,1.1785695870100277,1.2357020005013368,0.12135786982415087,1,62,67,reliable_strong,1.0,0.0,0
random_common_cause,1.4891939589498957,1.5134565373418782,0.016292423324824175,1,62,68,reliable_strong,1.0,0.0,0
placebo_treatment,1.4891939589498957,-0.2868255632946626,0.19260457079541032,1,62,68,reliable_strong,1.0,0.0,0
data_subset,1.4891939589498957,1.4584871983360714,0.08164086917956771,1,62,68,reliable_strong,1.0,0.0,0
random_common_cause,-0.32178643698108234,-0.37136670768514934,0.15407818666695952,0,62,69,fragile_strong,0.0,0.5,1
placebo_treatment,-0.32178643698108234,-0.05089919459313026,0.1581769420447096,1,62,69,fragile_strong,0.0,0.5,1
data_subset,-0.32178643698108234,-0.18901923894806863,3.5504606617200816,0,62,69,fragile_strong,0.0,0.5,1
random_common_cause,-0.4054473840345536,-0.47201186742212564,0.16417539243982196,0,62,70,fragile_strong,0.0,0.5,1
placebo_treatment,-0.4054473840345536,0.03774911611769274,0.09310484566963102,1,62,70,fragile_strong,0.0,0.5,1
data_subset,-0.4054473840345536,-0.7201535404266481,0.6402508616495122,0,62,70,fragile_strong,0.0,0.5,1
random_common_cause,-0.22602958334472467,-0.15286467188390113,0.323696174536753,0,62,71,fragile_mild,0.0,0.3,1
placebo_treatment,-0.22602958334472467,0.08233662548341728,0.3642736683624424,1,62,71,fragile_mild,0.0,0.3,1
data_subset,-0.22602958334472467,-0.3464060846051454,1.3311921718021962,0,62,71,fragile_mild,0.0,0.3,1
random_common_cause,1.0744388052614884,1.0327337135866554,0.03881569752563347,1,62,72,reliable_strong,1.0,0.0,0
placebo_treatment,1.0744388052614884,0.30591151305938785,0.284717483733229,1,62,72,reliable_strong,1.0,0.0,0
data_subset,1.0744388052614884,1.094262376009073,0.1055787820440829,1,62,72,reliable_strong,1.0,0.0,0
random_common_cause,0.690483871153635,0.6842016636201856,0.009098268324433478,1,62,73,reliable_strong,1.0,0.0,0
placebo_treatment,0.690483871153635,0.17190498607213536,0.24896307249715025,1,62,73,reliable_strong,1.0,0.0,0
data_subset,0.690483871153635,0.6739425132158683,0.2969917104500944,1,62,73,reliable_strong,1.0,0.0,0
random_common_cause,0.36440663730686007,0.3425422531272421,0.05999996142003954,1,62,74,reliable_weak,0.5,0.0,0
placebo_treatment,0.36440663730686007,-0.26659683119431987,0.7315915900012097,0,62,74,reliable_weak,0.5,0.0,0
data_subset,0.36440663730686007,0.23259391878269495,0.31294669013361304,1,62,74,reliable_weak,0.5,0.0,0
random_common_cause,0.5466074576138806,0.6689398015723369,0.2238029178973824,0,62,75,fragile_strong,0.0,0.5,1
placebo_treatment,0.5466074576138806,0.2722934026856796,0.49815164226688174,1,62,75,fragile_strong,0.0,0.5,1
data_subset,0.5466074576138806,0.7779508218734441,0.6464903830137911,0,62,75,fragile_strong,0.0,0.5,1
random_common_cause,1.4689133640837633,1.4591684647889673,0.006634087164748707,1,62,76,fragile_mild,0.0,0.3,1
placebo_treatment,1.4689133640837633,-0.4600673525002676,0.31320250992966847,1,62,76,fragile_mild,0.0,0.3,1
data_subset,1.4689133640837633,1.546094465467954,0.4715881007930954,1,62,76,fragile_mild,0.0,0.3,1
random_common_cause,0.6981536706129543,0.65957996909949,0.0552510187042316,1,62,77,fragile_mild,0.0,0.3,1
placebo_treatment,0.6981536706129543,0.697606077844748,0.9992156558201213,0,62,77,fragile_mild,0.0,0.3,1
data_subset,0.6981536706129543,0.5707530615298209,0.6458517504665114,0,62,77,fragile_mild,0.0,0.3,1
random_common_cause,0.6675916116573904,0.4270161357644272,0.3603632395795098,0,62,78,fragile_strong,0.0,0.5,1
placebo_treatment,0.6675916116573904,0.15088306155979048,0.2260110206975219,1,62,78,fragile_strong,0.0,0.5,1
data_subset,0.6675916116573904,1.0421355695289498,0.5579519177911445,0,62,78,fragile_strong,0.0,0.5,1
random_common_cause,-0.3572640230741564,-0.18398286796600988,0.48502268327247433,0,62,79,fragile_strong,0.0,0.5,1
placebo_treatment,-0.3572640230741564,1.2728035806187497,3.5626413476135466,0,62,79,fragile_strong,0.0,0.5,1
data_subset,-0.3572640230741564,-0.37720757369582325,0.9915926799153725,0,62,79,fragile_strong,0.0,0.5,1
random_common_cause,0.3616131591201974,0.3701123190663169,0.023503458687172497,1,63,0,fragile_mild,0.0,0.3,1
placebo_treatment,0.3616131591201974,0.11888854782218683,0.32877273634466714,1,63,0,fragile_mild,0.0,0.3,1
data_subset,0.3616131591201974,0.391362158944644,0.5930764581139817,0,63,0,fragile_mild,0.0,0.3,1
random_common_cause,-0.01188105179239915,-0.05383401402906704,3.531081504375489,0,63,1,fragile_mild,0.0,0.3,1
placebo_treatment,-0.01188105179239915,-1.264061696118516,106.39308019237774,0,63,1,fragile_mild,0.0,0.3,1
data_subset,-0.01188105179239915,-0.10420651187475383,1.7842037786798701,0,63,1,fragile_mild,0.0,0.3,1
random_common_cause,0.4898689165583897,0.4900946072033076,0.00046071640246844763,1,63,2,reliable_weak,0.5,0.0,0
placebo_treatment,0.4898689165583897,0.28569135898365755,0.5831996057043246,0,63,2,reliable_weak,0.5,0.0,0
data_subset,0.4898689165583897,0.49982903716162613,0.18275257388002064,1,63,2,reliable_weak,0.5,0.0,0
random_common_cause,0.9232110576923012,0.9714876659836862,0.05229206029232292,1,63,3,reliable_strong,1.0,0.0,0
placebo_treatment,0.9232110576923012,-0.05925961364050906,0.06418858737311595,1,63,3,reliable_strong,1.0,0.0,0
data_subset,0.9232110576923012,0.8474496106523901,0.14799096190637742,1,63,3,reliable_strong,1.0,0.0,0
