noise,controller,seed,viol_rate,pearson,final_V,auc_V,convergence,deadlock_rate,nonzero_frac
Student-t(3),C3_EMA,37,0.2982982982982983,0.637439238964631,59.46519379200551,3.945273281511683,0,0.0,1.0
Student-t(3),C3_EMA,38,0.29429429429429427,0.7489167436166538,2.6934685359240658,4.415866710874134,1,0.001,0.999
Student-t(3),C3_EMA,39,0.2952952952952953,0.651222462300051,3.513580681269856,4.305089057685924,0,0.0,1.0
Student-t(3),C3_raw,0,0.5155155155155156,0.6061582502619642,1.8367291969438175,1.338727784294942,1,0.0,1.0
Student-t(3),C3_raw,1,0.5085085085085085,0.7088816843216427,0.5777339104063256,1.4443818201572485,1,0.0,1.0
Student-t(3),C3_raw,2,0.5175175175175175,0.6972884525683831,0.12235148430720398,1.4341823858730853,1,0.0,1.0
Student-t(3),C3_raw,3,0.5195195195195195,0.7803505558196915,1.77816617901186,1.4228319452477987,0,0.0,1.0
Student-t(3),C3_raw,4,0.5065065065065065,0.75999618019308,0.7681690854846419,1.4081384331584403,1,0.0,1.0
Student-t(3),C3_raw,5,0.5135135135135135,0.5052370690563144,0.831094066153786,1.3260997934555763,1,0.0,1.0
Student-t(3),C3_raw,6,0.5185185185185185,0.7086685066574225,0.9588835606782303,1.418285177401206,1,0.0,1.0
Student-t(3),C3_raw,7,0.5155155155155156,0.709673108927314,0.9043928256656094,1.3479558148381807,1,0.0,1.0
Student-t(3),C3_raw,8,0.5325325325325325,0.7279002686278594,0.9537156888036767,1.4164103266020858,1,0.0,1.0
Student-t(3),C3_raw,9,0.5195195195195195,0.7161165071176058,1.2854097295130151,1.3218937408867628,1,0.0,1.0
Student-t(3),C3_raw,10,0.5165165165165165,0.6324770472508462,0.85663010070061,1.3501547242762804,0,0.0,1.0
Student-t(3),C3_raw,11,0.4984984984984985,0.750737344637678,0.6809568866604535,1.3653376156595614,1,0.0,1.0
Student-t(3),C3_raw,12,0.5015015015015015,0.6842954380444245,1.214946360771708,1.4258690678779418,1,0.0,1.0
Student-t(3),C3_raw,13,0.5135135135135135,0.5265944713410624,2.057020716991977,1.3564862032652931,1,0.0,1.0
Student-t(3),C3_raw,14,0.5105105105105106,0.7151724248875674,4.43164427493948,1.2469923080045322,1,0.0,1.0
Student-t(3),C3_raw,15,0.5265265265265265,0.7389743565727006,0.959434299190345,1.3551654898765473,1,0.0,1.0
Student-t(3),C3_raw,16,0.5145145145145145,0.6497947751361592,0.32015820007197343,1.405512703411402,1,0.0,1.0
