seed,severity,detector,delay,pre_fpr,arl0
64,severe,page_hinkley,700,0.0,300
65,severe,entropy_weighted,700,0.03333333333333333,0
65,severe,uniform,700,0.03333333333333333,0
65,severe,adwin,700,0.0,300
65,severe,cusum,8,0.03333333333333333,101
65,severe,page_hinkley,700,0.0,300
66,severe,entropy_weighted,700,0.03333333333333333,0
66,severe,uniform,700,0.03333333333333333,0
66,severe,adwin,700,0.0,300
66,severe,cusum,4,0.03333333333333333,101
66,severe,page_hinkley,700,0.0,300
67,severe,entropy_weighted,45,0.03333333333333333,0
67,severe,uniform,286,0.03333333333333333,0
67,severe,adwin,304,0.0,300
67,severe,cusum,14,0.03333333333333333,102
67,severe,page_hinkley,339,0.0,300
68,severe,entropy_weighted,60,0.03333333333333333,0
68,severe,uniform,60,0.03333333333333333,0
68,severe,adwin,297,0.0,300
68,severe,cusum,0,0.03,101
68,severe,page_hinkley,321,0.0,300
69,severe,entropy_weighted,700,0.03333333333333333,0
69,severe,uniform,700,0.03333333333333333,0
69,severe,adwin,700,0.0,300
69,severe,cusum,31,0.04,87
69,severe,page_hinkley,700,0.0,300
70,severe,entropy_weighted,700,0.03333333333333333,0
70,severe,uniform,700,0.03333333333333333,0
70,severe,adwin,700,0.0,300
70,severe,cusum,5,0.03333333333333333,90
70,severe,page_hinkley,700,0.0,300
71,severe,entropy_weighted,324,0.03333333333333333,0
71,severe,uniform,325,0.03333333333333333,0
71,severe,adwin,700,0.0,300
71,severe,cusum,0,0.023333333333333334,105
71,severe,page_hinkley,700,0.0,300
72,severe,entropy_weighted,229,0.03333333333333333,0
72,severe,uniform,232,0.03333333333333333,0
72,severe,adwin,349,0.0,300
72,severe,cusum,15,0.02666666666666667,106
72,severe,page_hinkley,368,0.0,300
73,severe,entropy_weighted,48,0.03333333333333333,0
73,severe,uniform,49,0.03333333333333333,0
73,severe,adwin,185,0.0,300
73,severe,cusum,3,0.02666666666666667,110
73,severe,page_hinkley,290,0.0,300
74,severe,entropy_weighted,700,0.03333333333333333,0
74,severe,uniform,700,0.03333333333333333,0
74,severe,adwin,700,0.0,300
74,severe,cusum,24,0.03,117
74,severe,page_hinkley,700,0.0,300
75,severe,entropy_weighted,700,0.03333333333333333,0
75,severe,uniform,700,0.03333333333333333,0
75,severe,adwin,700,0.0,300
75,severe,cusum,34,0.03333333333333333,112
75,severe,page_hinkley,536,0.0,300
76,severe,entropy_weighted,700,0.03333333333333333,0
76,severe,uniform,700,0.03333333333333333,0
76,severe,adwin,700,0.0,300
76,severe,cusum,11,0.03333333333333333,99
76,severe,page_hinkley,700,0.0,300
77,severe,entropy_weighted,51,0.03333333333333333,0
77,severe,uniform,189,0.03333333333333333,0
77,severe,adwin,700,0.0,300
77,severe,cusum,12,0.02666666666666667,122
77,severe,page_hinkley,514,0.0,300
78,severe,entropy_weighted,700,0.03333333333333333,0
78,severe,uniform,700,0.03333333333333333,0
78,severe,adwin,700,0.0,300
78,severe,cusum,29,0.043333333333333335,96
78,severe,page_hinkley,700,0.0,300
79,severe,entropy_weighted,700,0.03333333333333333,0
79,severe,uniform,700,0.03333333333333333,0
79,severe,adwin,700,0.0,300
79,severe,cusum,13,0.03,103
79,severe,page_hinkley,700,0.0,300
80,severe,entropy_weighted,700,0.03333333333333333,0
80,severe,uniform,700,0.03333333333333333,0
80,severe,adwin,700,0.0,300
80,severe,cusum,1,0.03,94
80,severe,page_hinkley,700,0.0,300
81,severe,entropy_weighted,700,0.03333333333333333,0
81,severe,uniform,700,0.03333333333333333,0
81,severe,adwin,700,0.0,300
81,severe,cusum,9,0.03666666666666667,90
81,severe,page_hinkley,700,0.0,300
